Time,Date Updated,Song name,Song rank,Artist,Hearts (Real),Shares (Real)
23/02/2026 17:53:33,02/02/2026,CHẠY NGAY ĐI,50,Sơn Tùng M-TP,628235,6019
Time,Date Updated,Song name,Song rank,Artist,Hearts (Real),Shares (Real)
24/02/2026 17:49:26,02/02/2026,Hôn Lễ Của Em,1,Trọng Nhân,77893,1904
24/02/2026 17:49:26,02/02/2026,Ai Ngoài Anh,2,VSTRA,66652,1366
24/02/2026 17:49:26,02/02/2026,Không Buông,3,Hngle,155553,3089
24/02/2026 17:49:26,02/02/2026,50 Năm Về Sau,4,F47,63344,2350
24/02/2026 17:49:26,02/02/2026,In Love,5,Low G,87145,1585
24/02/2026 17:49:26,02/02/2026,Anh Đã Không Biết Cách Yêu Em,6,Quang Đăng Trần,188450,4860
24/02/2026 17:49:26,02/02/2026,chẳng phải tình đầu sao đau đến thế,7,MIN,133500,3402
24/02/2026 17:49:26,02/02/2026,Vạn Sự Như Ý,8,Trúc Nhân,41017,1737
24/02/2026 17:49:26,02/02/2026,CHỜ ANH VỀ,9,"ANH TRAI ""SAY HI""",83128,1755
24/02/2026 17:49:26,02/02/2026,Thiệp Hồng Sai Tên,10,Nguyễn Thành Đạt,102917,2107
24/02/2026 17:49:26,02/02/2026,Kho Báu,11,(S)TRONG,175452,5195
24/02/2026 17:49:26,02/02/2026,Tấm Lòng Cửu Long,12,Ricky Star,40226,747
24/02/2026 17:49:26,02/02/2026,Hẹn Lần Sau,13,MAYDAYs,37753,599
24/02/2026 17:49:26,02/02/2026,Chất Gây Hại,14,Quang Hùng MasterD,43956,731
24/02/2026 17:49:26,02/02/2026,Dạo Này,15,Obito,37768,749
24/02/2026 17:49:26,02/02/2026,Mất Kết Nối,16,Dương Domic,394453,14108
24/02/2026 17:49:26,02/02/2026,Không Thời Gian,17,Dương Domic,91224,1609
24/02/2026 17:49:26,02/02/2026,Nơi Này Có Anh,18,Sơn Tùng M-TP,341420,6022
24/02/2026 17:49:26,02/02/2026,Người Đầu Tiên,19,Juky San,77353,505
24/02/2026 17:49:26,02/02/2026,Ngày Này Năm Ấy,20,Việt Anh,118485,1642
24/02/2026 17:49:26,02/02/2026,Trộm Vía,21,Vũ Thùy Linh,27551,559
24/02/2026 17:49:26,02/02/2026,SỚM MUỘN THÌ,22,"ANH TRAI ""SAY HI""",86507,1681
24/02/2026 17:49:26,02/02/2026,hello em có khỏe không,23,Dfoxie37,42101,673
24/02/2026 17:49:26,02/02/2026,Gió Đưa Tình,24,Wren Evans,25561,449
24/02/2026 17:49:26,02/02/2026,Bình Yên,25,Vũ.,247673,2037
24/02/2026 17:49:26,02/02/2026,NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN,26,"ANH TRAI ""SAY HI""",99664,2007
24/02/2026 17:49:26,02/02/2026,Còn Gì Đẹp Hơn (Mưa Đỏ Original Soundtrack),27,Nguyễn Hùng,153208,4720
24/02/2026 17:49:26,02/02/2026,Em Thua Cô Ta (#1),28,Thiên Đình,65007,1047
24/02/2026 17:49:26,02/02/2026,Âm Thầm Bên Em,29,Sơn Tùng M-TP,317430,6022
24/02/2026 17:49:26,02/02/2026,E Là Không Thể,30,Anh Quân,214369,1290
